1 3 9 13 23 25 34 36 38
2 3 9 14 23 26 34 36 39
2 4 9 15 23 27 34 36 39
1 3 10 15 23 25 34 36 38
2 3 9 16 24 28 34 37 39
2 3 10 14 23 26 34 36 39
2 4 9 15 23 26 34 36 39
2 4 10 15 23 27 34 36 39
1 3 10 15 23 25 34 36 38
2 4 9 14 23 26 34 36 39
2 3 10 14 23 27 34 36 39
2 3 10 14 23 26 34 36 39
2 4 9 14 23 26 34 36 39
1 3 10 15 23 25 34 36 38
2 3 11 13 24 28 34 37 39
2 5 11 16 24 28 34 36 38
2 6 11 15 24 28 34 37 39
1 3 9 13 23 25 34 36 38
1 3 10 15 23 25 34 36 38
1 3 9 13 23 25 34 36 38
2 4 9 14 23 26 34 36 39
1 3 10 13 23 25 34 36 38
2 4 10 14 23 27 34 36 39
2 4 10 15 23 26 34 36 39
2 4 9 15 23 27 34 36 39
1 6 9 15 23 25 34 36 38
2 3 10 14 23 26 34 36 39
2 3 10 15 23 27 34 36 39
2 6 11 13 24 28 34 36 38
2 3 9 14 23 26 34 37 38
2 4 9 14 23 27 34 36 39
1 3 10 15 23 25 34 36 38
2 3 10 14 23 27 34 36 39
2 3 10 13 23 27 34 36 39
2 4 10 14 23 27 34 36 39
2 3 11 14 23 27 34 37 38
2 5 11 16 24 28 34 36 38
1 3 10 13 23 25 34 36 38
2 3 11 14 23 26 34 37 38
2 4 9 14 23 27 34 36 39
2 4 10 14 23 26 34 36 39
2 3 10 14 23 27 34 36 39
2 3 11 13 24 28 34 36 38
1 3 10 15 23 25 34 36 38
2 3 9 14 23 26 34 36 39
2 3 10 15 23 26 34 36 39
2 3 10 14 23 27 34 36 39
2 3 9 15 23 27 34 36 39
2 3 10 14 23 27 34 36 39
2 6 10 14 23 27 34 36 39
2 3 10 13 23 26 34 36 39
2 3 9 15 23 27 34 36 39
2 4 9 15 23 27 34 36 39
1 3 10 13 23 25 34 36 38
1 3 9 15 23 25 34 36 38
2 4 10 14 23 26 34 36 39
2 6 11 16 24 28 34 37 39
2 4 9 15 23 26 34 36 39
2 3 9 14 23 27 34 36 39
2 3 10 13 23 26 34 36 39
2 5 11 16 24 28 34 36 38
2 4 10 14 23 26 34 36 39
2 4 9 14 23 27 34 36 39
2 4 10 14 23 27 34 36 39
2 4 10 15 23 27 34 36 39
2 6 9 13 24 28 34 37 39
2 3 9 15 23 27 34 36 39
2 6 10 14 23 26 34 36 39
2 3 10 14 23 26 34 36 39
